match_id,match_size,mutual_match,countyid_1,County_name_1,State_1,total_workers2022_1,countyid_2,County_name_2,State_2,total_workers2022_2,countyid_3,County_name_3,State_3,total_workers2022_3,RUCC_2013,Economic_Type_Label,Low_Education_2015_Update,max_labor_force_gap,match_tier
1193,2,True,38019,Cavalier County,ND,1899.579903833568,31175,Valley County,NE,1903.7240089774132,,,,,9,Farming,0,4.144105143845081,rucc_econtype_lowed
1194,2,True,37095,Hyde County,NC,1910.1088978610933,21105,Hickman County,KY,1929.5159919597208,,,,,9,Farming,0,19.407094098627567,rucc_econtype_lowed
1195,2,True,30071,Phillips County,MT,1943.309605299779,20119,Meade County,KS,1951.3935964405537,,,,,9,Farming,0,8.083991140774742,rucc_econtype_lowed
1196,2,True,8095,Phillips County,CO,1960.7525037042797,29171,Putnam County,MO,1984.2255824133754,,,,,9,Farming,0,23.473078709095716,rucc_econtype_lowed
1197,2,True,29199,Scotland County,MO,1997.849099714309,31129,Nuckolls County,NE,2036.221208281815,,,,,9,Farming,0,38.372108567506075,rucc_econtype_lowed
1198,2,True,46039,Deuel County,SD,2043.2736017256975,31123,Morrill County,NE,2044.5696086138487,,,,,9,Farming,0,1.2960068881511688,rucc_econtype_lowed
1199,2,True,46091,Marshall County,SD,2049.5799879580736,21039,Carlisle County,KY,2055.3540032170713,,,,,9,Farming,0,5.774015258997679,rucc_econtype_lowed
1200,2,True,27069,Kittson County,MN,2056.9840144366026,8121,Washington County,CO,2083.763803355396,,,,,9,Farming,0,26.7797889187932,rucc_econtype_lowed
1201,2,True,19159,Ringgold County,IA,2083.9087901860476,31065,Furnas County,NE,2116.008312650025,,,,,9,Farming,0,32.09952246397734,rucc_econtype_lowed
1202,2,True,40029,Coal County,OK,2147.748282600194,20157,Republic County,KS,2158.7148060426116,,,,,9,Farming,0,10.966523442417383,rucc_econtype_lowed
1203,2,True,40007,Beaver County,OK,2188.6848131343722,17171,Scott County,IL,2217.8336056880653,,,,,9,Farming,0,29.148792553693056,rucc_econtype_lowed
1204,2,True,29005,Atchison County,MO,2248.314683973789,38021,Dickey County,ND,2283.811809167266,,,,,9,Farming,0,35.49712519347668,rucc_econtype_lowed
1205,2,True,31161,Sheridan County,NE,2300.140795160085,31169,Thayer County,NE,2348.9939916059375,,,,,9,Farming,0,48.85319644585252,rucc_econtype_lowed
1206,2,True,27011,Big Stone County,MN,2386.58010917902,31143,Polk County,NE,2431.5444155416117,,,,,9,Farming,0,44.96430636259174,rucc_econtype_lowed
1207,2,True,40003,Alfalfa County,OK,2467.70720089972,46077,Kingsbury County,SD,2507.1472157873213,,,,,9,Farming,0,39.44001488760114,rucc_econtype_lowed
1208,2,True,46015,Brule County,SD,2539.6231851503253,20201,Washington County,KS,2558.4768037050962,,,,,9,Farming,0,18.853618554770947,rucc_econtype_lowed
1209,2,True,29205,Shelby County,MO,2588.99548747018,46037,Day County,SD,2591.9304071366787,,,,,9,Farming,0,2.9349196664988995,rucc_econtype_lowed
1210,2,True,31011,Boone County,NE,2606.9817487597466,38049,McHenry County,ND,2629.6608001478016,,,,,9,Farming,0,22.679051388055086,rucc_econtype_lowed
